code,name,industry,area,pe,outstanding,totals,timeToMarket
000626,远大控股,商贸代理,江苏,35.27,4.05,5.99,19961128
002431,棕榈股份,建筑施工,广东,124.68,9.04,13.77,20100610
002807,江阴银行,银行,江苏,34.37,2.09,17.67,20160902
600180,瑞茂通,仓储物流,山东,38.98,8.82,10.16,19980703
000950,*ST建峰,农药化肥,重庆,0.0,5.99,5.99,19990916
600330,天通股份,元器件,浙江,72.29,7.6,8.3,20010118
300092,科新机电,专用机械,四川,199.17,1.61,2.38,20100708
600579,天华院,化工机械,山东,1943.74,2.56,4.11,20020809
000018,神州长城,装修装饰,深圳,42.77,7.53,16.98,19920616
600976,健民集团,中成药,湖北,67.34,1.53,1.53,20040419
300112,万讯自控,电器仪表,深圳,157.35,1.38,2.67,20100827
600239,云南城投,区域地产,云南,0.0,10.7,10.7,19991202
002480,新筑股份,机械基件,四川,1056.31,6.26,6.45,20100921
002281,光迅科技,通信设备,湖北,62.19,2.03,2.1,20090821
000301,东方市场,综合类,江苏,33.36,12.18,12.18,20000529
603909,合诚股份,建筑施工,福建,119.63,0.25,1.0,20160628
300392,腾信股份,互联网,北京,0.0,1.61,3.84,20140910
002767,先锋电子,电器仪表,浙江,131.25,0.38,1.5,20150612
000702,正虹科技,饲料,湖南,0.0,2.67,2.67,19970318
300433,蓝思科技,元器件,湖南,56.2,2.06,21.82,20150318
300298,三诺生物,医疗保健,湖南,46.81,2.51,3.38,20120319
000851,高鸿股份,软件服务,贵州,141.63,5.19,5.91,19980609
002131,利欧股份,互联网,浙江,49.18,6.87,16.07,20070427
300516,久之洋,电器仪表,湖北,217.78,0.3,1.2,20160602
600836,界龙实业,广告包装,上海,4561.24,6.53,6.63,19940224
002407,多氟多,化工原料,河南,39.03,5.26,6.28,20100518
002097,山河智能,工程机械,湖南,165.77,6.29,7.55,20061222
002140,东华科技,建筑施工,安徽,64.91,4.39,4.46,20070712
603997,继峰股份,汽车配件,浙江,37.8,1.14,4.2,20150302
300302,同有科技,软件服务,北京,136.03,2.32,4.21,20120321
600677,航天通信,通信设备,浙江,368.52,3.98,5.22,19930928
600073,上海梅林,食品,上海,28.52,9.38,9.38,19970704
300464,星徽精密,机械基件,广东,113.38,0.89,2.1,20150610
002513,*ST蓝丰,农药化肥,江苏,49.64,2.13,3.4,20101203
002573,清新环境,环境保护,北京,29.2,10.65,10.66,20110422
600243,青海华鼎,机床制造,青海,0.0,2.37,4.39,20001120
603567,珍宝岛,中成药,黑龙江,37.37,1.29,8.49,20150424
600528,中铁二局,建筑施工,四川,139.34,14.59,14.59,20010528
002335,科华恒盛,电气设备,福建,95.5,1.85,2.71,20100113
002483,润邦股份,工程机械,江苏,51.49,3.59,4.2,20100929
000788,北大医药,化学制药,重庆,418.17,5.59,5.96,19970616
300355,蒙草生态,环境保护,内蒙,34.6,5.44,10.03,20120927
000519,江南红箭,矿物制品,湖南,222.96,5.83,10.33,19931008
600118,中国卫星,航空,北京,125.9,11.82,11.82,19970908
300168,万达信息,软件服务,上海,194.9,10.09,10.31,20110125
300048,合康变频,电气设备,北京,37.99,6.29,7.87,20100120
000901,航天科技,航空,黑龙江,352.88,3.24,3.78,19990401
002141,蓉胜超微,元器件,广东,1434.69,6.37,11.35,20070720
600127,金健米业,农业综合,湖南,245.52,5.44,6.42,19980506
002447,壹桥股份,渔业,辽宁,53.4,5.8,9.52,20100713
002697,红旗连锁,超市连锁,四川,48.1,7.31,13.6,20120905
002019,亿帆医药,化学制药,浙江,24.02,5.6,11.01,20040713
000413,东旭光电,元器件,河北,61.27,24.1,49.4,19960925
600561,江西长运,公路,江西,81951.2,2.37,2.37,20020716
600218,全柴动力,农用机械,安徽,35.78,3.69,3.69,19981203
300351,永贵电器,元器件,浙江,76.02,1.96,3.85,20120920
300166,东方国信,软件服务,北京,98.83,3.84,6.55,20110125
300064,豫金刚石,矿物制品,河南,90.65,6.06,12.05,20100326
300232,洲明科技,半导体,深圳,53.96,3.52,5.75,20110622
600526,菲达环保,环境保护,浙江,103.52,4.07,5.47,20020722
002334,英威腾,电气设备,深圳,81.82,5.29,7.49,20100113
603118,共进股份,通信设备,深圳,45.12,1.19,3.56,20150225
600241,时代万恒,商贸代理,辽宁,0.0,1.93,2.26,20001128
300260,新莱应材,机械基件,江苏,431.35,0.5,1.0,20110906
002409,雅克科技,化工原料,江苏,144.47,1.65,3.33,20100525
600339,*ST天利,石油加工,新疆,0.0,5.78,5.78,20001225
300246,宝莱特,医疗保健,广东,80.3,1.08,1.46,20110719
600052,浙江广厦,区域地产,浙江,10.88,8.72,8.72,19970415
002194,武汉凡谷,通信设备,湖北,0.0,4.37,5.65,20071207
603393,新天然气,供气供热,新疆,67.05,0.4,1.6,20160912
002321,华英农业,农业综合,河南,46.84,4.23,5.34,20091216
300529,健帆生物,医疗保健,广东,133.02,0.42,4.12,20160802
002418,康盛股份,机械基件,浙江,57.02,5.54,11.36,20100601
002388,新亚制程,元器件,深圳,473.89,3.82,4.0,20100413
002341,新纶科技,化工原料,深圳,104.02,2.78,3.73,20100122
600794,保税科技,仓储物流,江苏,154.96,11.03,12.12,19970306
300515,三德科技,电器仪表,湖南,213.72,0.25,1.0,20160608
002730,电光科技,电气设备,浙江,243.33,1.03,3.23,20141009
600707,彩虹股份,元器件,陕西,0.0,7.36,7.37,19960520
000555,神州信息,软件服务,深圳,150.02,2.58,9.18,19940408
002632,道明光学,化工原料,浙江,135.5,5.53,5.92,20111122
000721,西安饮食,酒店餐饮,陕西,206.75,4.36,4.99,19970430
600249,两面针,日用化工,广西,0.0,4.5,5.5,20040130
603606,东方电缆,电气设备,浙江,135.87,1.39,3.11,20141015
601137,博威合金,铜,浙江,40.99,4.3,6.27,20110127
603779,威龙股份,红黄药酒,山东,184.2,0.5,2.0,20160516
002066,瑞泰科技,其他建材,北京,109.0,2.31,2.31,20060823
002108,沧州明珠,塑料,河北,27.61,6.14,6.42,20070124
300204,舒泰神,生物制药,北京,34.35,4.63,4.79,20110415
000605,渤海股份,水务,北京,108.98,1.18,1.95,19960913
002485,希努尔,服饰,山东,362.09,3.2,3.2,20101015
600570,恒生电子,软件服务,浙江,130.12,6.18,6.18,20031216
000632,三木集团,综合类,福建,2314.01,4.65,4.66,19961121
300132,青松股份,化工原料,福建,149.98,2.76,3.86,20101026
603006,联明股份,汽车配件,上海,42.71,0.69,1.93,20140630
600359,新农开发,农业综合,新疆,0.0,3.82,3.82,19990429
002245,澳洋顺昌,仓储物流,江苏,47.14,9.05,9.75,20080605
002147,新光圆成,机械基件,安徽,37.79,2.24,14.06,20070808
600653,申华控股,汽车服务,上海,0.0,17.46,19.46,19901219
300238,冠昊生物,医疗保健,广东,274.57,1.88,2.66,20110706
002696,百洋股份,渔业,广西,109.91,1.04,1.76,20120905
002256,兆新股份,染料涂料,深圳,110.96,12.53,18.85,20080625
002504,弘高创意,装修装饰,北京,31.91,3.88,10.26,20101118
002699,美盛文化,服饰,浙江,84.46,3.77,5.05,20120911
002568,百润股份,红黄药酒,上海,0.0,3.77,8.96,20110325
603031,安德利,百货,安徽,142.67,0.2,0.8,20160822
002022,科华生物,医疗保健,上海,42.27,3.8,5.13,20040721
603866,桃李面包,食品,辽宁,47.18,0.45,4.5,20151222
600113,浙江东日,区域地产,浙江,61.06,3.19,3.19,19971021
002495,佳隆股份,食品,广东,165.75,6.66,9.36,20101102
000779,三毛派神,纺织,甘肃,0.0,1.86,1.86,19970528
300069,金利华电,电气设备,浙江,182.91,0.84,1.17,20100421
300161,华中数控,机床制造,湖北,0.0,1.56,1.62,20110113
600550,保变电气,电气设备,河北,686.32,13.73,15.35,20010228
600150,中国船舶,船舶,上海,0.0,13.78,13.78,19980520
600458,时代新材,塑料,湖南,46.65,6.61,8.03,20021219
002390,信邦制药,中成药,贵州,62.65,7.33,17.05,20100416
300202,聚龙股份,专用机械,辽宁,92.0,4.29,5.5,20110415
002150,通润装备,机械基件,江苏,56.73,2.5,2.74,20070810
002541,鸿路钢构,钢加工,安徽,47.29,1.66,3.49,20110118
300333,兆日科技,元器件,深圳,226.44,3.31,3.36,20120628
600498,烽火通信,通信设备,湖北,40.08,9.87,10.46,20010823
002756,永兴特钢,特种钢,浙江,37.0,1.38,3.6,20150515
002290,禾盛新材,家用电器,江苏,169.93,1.52,2.43,20090903
603600,永艺股份,家居用品,浙江,51.92,0.42,1.0,20150123
000586,汇源通信,通信设备,四川,1197.75,1.93,1.93,19951220
600171,上海贝岭,半导体,上海,196.19,6.74,6.74,19980924
000777,中核科技,机械基件,江苏,141.65,3.83,3.83,19970710
600420,现代制药,化学制药,上海,61.51,2.88,2.88,20040616
002566,益盛药业,中成药,吉林,111.96,2.0,3.31,20110318
600667,太极实业,半导体,江苏,289.09,11.91,16.91,19930728
002196,方正电机,纺织机械,浙江,79.03,1.25,2.65,20071212
300319,麦捷科技,元器件,深圳,47.58,1.23,2.12,20120523
600833,第一医药,医药商业,上海,84.21,2.23,2.23,19940224
300264,佳创视讯,通信设备,深圳,0.0,3.19,4.13,20110916
603718,海利生物,生物制药,上海,127.15,3.05,6.44,20150515
300288,朗玛信息,软件服务,贵州,126.19,1.7,3.38,20120216
002365,永安药业,化学制药,湖北,74.15,1.54,1.87,20100305
000918,嘉凯城,全国地产,浙江,0.0,18.04,18.04,19990720
000760,斯太尔,汽车配件,湖北,0.0,3.32,7.88,19970627
300399,京天利,互联网,北京,146.53,0.44,1.52,20141009
600765,中航重机,机械基件,贵州,80.03,7.78,7.78,19961106
300028,金亚科技,通信设备,四川,425.06,2.48,3.44,20091030
002072,凯瑞德,纺织,山东,113.79,1.76,1.76,20061018
300259,新天科技,电器仪表,河南,68.18,2.58,5.36,20110831
300346,南大光电,元器件,江苏,299.35,1.27,1.61,20120807
000410,沈阳机床,机床制造,辽宁,0.0,7.4,7.65,19960718
600288,大恒科技,软件服务,北京,0.0,4.37,4.37,20001129
600620,天宸股份,综合类,上海,182.9,6.87,6.87,19921117
002217,合力泰,元器件,山东,30.24,4.67,14.22,20080220
600654,中安消,软件服务,上海,68.12,7.55,12.83,19901219
002069,*ST獐岛,渔业,辽宁,185.3,6.81,7.11,20060928
002204,大连重工,专用机械,辽宁,119.87,19.31,19.31,20080116
300394,天孚通信,通信设备,江苏,59.32,0.68,1.86,20150217
603859,能科股份,软件服务,北京,513.49,0.28,1.14,20161021
300295,三六五网,互联网,江苏,51.19,1.74,1.92,20120315
601100,恒立液压,工程机械,江苏,180.98,2.47,6.3,20111028
300502,新易盛,通信设备,四川,109.05,0.19,0.78,20160303
002443,金洲管道,钢加工,浙江,120.16,5.03,5.21,20100706
300220,金运激光,元器件,湖北,426.88,0.58,1.26,20110525
002127,南极电商,互联网,江苏,88.6,8.93,15.38,20070418
300214,日科化学,化工原料,山东,40.35,2.95,4.05,20110511
000597,东北制药,化学制药,辽宁,668.87,4.39,4.75,19960523
300331,苏大维格,元器件,江苏,391.9,1.3,1.86,20120628
600715,文投控股,影视音像,辽宁,75.23,4.49,16.49,19960701
002616,长青集团,环境保护,广东,55.2,2.24,3.79,20110920
600053,九鼎投资,区域地产,江西,52.01,4.34,4.34,19970418
002347,泰尔股份,机械基件,安徽,259.81,3.26,4.49,20100128
603010,万盛股份,化工原料,浙江,56.01,1.05,2.54,20141010
603701,德宏股份,汽车配件,浙江,85.47,0.2,0.78,20160412
600819,耀皮玻璃,玻璃,上海,129.42,6.72,9.35,19940128
300228,富瑞特装,化工机械,江苏,0.0,3.87,4.71,20110608
002208,合肥城建,区域地产,安徽,64.77,3.19,3.2,20080128
002706,良信电器,电气设备,上海,43.06,0.72,2.59,20140121
000752,西藏发展,啤酒,西藏,843.19,2.64,2.64,19970625
