code,name,industry,area,pe,outstanding,totals,timeToMarket
600609,金杯汽车,汽车整车,辽宁,0.0,109266.71,109266.71,19920724
300332,天壕环境,环境保护,北京,64.55,63334.46,77437.9,20120628
002476,宝莫股份,化工原料,山东,263.6,60151.1,61200.0,20100915
600459,贵研铂业,小金属,云南,89.9,26097.76,26097.76,20030516
300030,阳普医疗,医疗保健,广东,180.57,25276.58,30879.58,20091225
600783,鲁信创投,矿物制品,山东,29.87,74435.92,74435.92,19961225
000716,黑芝麻,食品,广西,58.77,58388.39,63858.44,19970418
002352,鼎泰新材,钢加工,安徽,510.5,13298.25,23349.23,20100205
300509,新美星,专用机械,江苏,102.24,2000.0,8000.0,20160425
002805,丰元股份,化工原料,山东,221.37,2422.89,9691.37,20160707
600064,南京高科,园区开发,江苏,8.69,77247.29,77247.29,19970506
300038,梅泰诺,通信设备,北京,103.52,12315.74,19043.09,20100108
601390,中国中铁,建筑施工,北京,17.4,1832803.13,2284430.25,20071203
300331,苏大维格,元器件,江苏,553.29,12959.21,18600.0,20120628
000567,海德股份,区域地产,海南,3149.51,15036.08,15120.0,19940525
002134,天津普林,元器件,天津,0.0,24584.98,24584.98,20070516
603029,天鹅股份,专用机械,山东,209.25,2334.0,9334.0,20160427
002606,大连电瓷,电气设备,辽宁,87.08,14195.55,20400.0,20110805
002780,三夫户外,其他商业,北京,519.89,1700.0,6748.06,20151209
002615,哈尔斯,家居用品,浙江,45.52,15411.19,27360.0,20110909
002013,中航机电,航空,湖北,87.15,139669.91,160383.7,20040705
002483,润邦股份,工程机械,江苏,40.69,35923.89,42027.98,20100929
002468,艾迪西,其他建材,浙江,1666.39,33177.6,33177.6,20100908
603018,中设集团,建筑施工,江苏,44.75,12586.58,20800.0,20141013
603703,盛洋科技,电气设备,浙江,314.56,9591.87,22970.0,20150423
002251,步 步 高,超市连锁,湖南,32.24,64954.21,77898.54,20080619
000960,锡业股份,小金属,云南,1689.85,120942.29,147205.5,20000221
002105,信隆健康,文教休闲,深圳,132.69,36850.0,36850.0,20070112
002374,丽鹏股份,建筑施工,山东,60.24,50324.01,77357.1,20100318
300247,乐金健康,医疗保健,安徽,233.48,43032.58,72219.03,20110729
002644,佛慈制药,中成药,甘肃,101.92,51065.69,51065.69,20111222
002538,司尔特,农药化肥,安徽,32.87,69966.28,71812.03,20110118
601002,晋亿实业,机械基件,浙江,183.08,79269.0,79269.0,20070126
600099,林海股份,摩托车,江苏,1149.27,21912.0,21912.0,19970704
002443,金洲管道,钢加工,浙江,127.22,50305.71,52053.55,20100706
601038,一拖股份,农用机械,河南,37.8,59391.0,99590.0,20120808
600654,中安消,软件服务,上海,66.45,75504.31,128302.1,19901219
000837,秦川机床,机床制造,陕西,0.0,48149.48,69337.09,19980928
000409,山东地矿,综合类,山东,1272.4,35774.78,47270.92,19960627
600512,腾达建设,建筑施工,浙江,96.76,97080.54,159890.28,20021226
002283,天润曲轴,汽车配件,山东,60.41,111995.02,111995.02,20090821
300194,福安药业,化学制药,重庆,56.29,15878.41,39657.07,20110322
000676,智度股份,互联网,河南,108.05,31400.86,96571.07,19961224
002782,可立克,电气设备,深圳,165.77,10650.0,42600.0,20151222
002133,广宇集团,全国地产,浙江,29.28,60150.46,77414.4,20070427
002111,威海广泰,航空,山东,51.19,26366.33,38182.75,20070126
600353,旭光股份,元器件,四川,139.24,54372.0,54372.0,20021120
000791,甘肃电投,水力发电,甘肃,0.0,72211.4,97112.61,19971014
300110,华仁药业,化学制药,山东,1702.94,65362.87,65740.34,20100825
603012,创力集团,专用机械,上海,58.44,42383.41,63656.0,20150320
300434,金石东方,专用机械,四川,263.6,3400.0,13600.0,20150424
002786,银宝山新,专用机械,深圳,117.33,9534.0,38124.0,20151223
601595,上海电影,影视音像,上海,69.93,9350.0,37350.0,20160817
